,companyId,companyName,companyRating,companyEmployees,companyLocation,companyDescription,companyType
0,company_0,IBM,4.0,10000+ employees,Jakarta,"IBM works to design, advance, and scale the technologies that define each era. Restlessly reinventing since 1911, we are one of the largest technology, consulting and research companies in the world. IBMers are agents of change – in this team, you’ll become a part of a historic, prestigious, and global community in which you’ll be respected, and your talents will have a real impact. Join our team of experts and thrive in a collaborative and friendly environment where you can bring your whole self at work. Use your skills to empower clients and partners to create something that is bigger than what any one of us could produce alone. Come and let’s create together!",Information Technology
1,company_1,Tokopedia,4.2,5001 to 10000 employees,Jakarta,"Tokopedia is an Indonesian technology company with a mission to democratize commerce through technology. Since its founding in 2009, Tokopedia has been a force that pioneers digital transformation in Indonesia. Consistent in building a bridge to connect millions of people, we have now reached more than 99% of districts and empowered around 12 million merchants listed across Indonesia. Our vision is to build a Super Ecosystem where anyone can start and discover anything. To achieve that, we are working hand in hand with various strategies partners while also providing more than 500,000 payment points across Indonesia, and offering more than 40 digital products that simplify the lives of many. We have grown rapidly and currently have more than 7,000 Nakama spread across several regions; Jakarta, Semarang, and Yogyakarta. In 2021, Tokopedia has united with Gojek to become GoTo by combining e-commerce, on-demand, and financial and payment services. With a mission to empower progress, we continuously create a comprehensive ecosystem for daily life. Let’s #FindYourPurpose with us, and join our mission! www.tokopedia.com/careers IMPORTANT Tokopedia is affiliated with the GoTo Group companies, and all authentic jobs/open positions listed by Tokopedia can ONLY be accessed via our official channels which are Tokopedia on LinkedIn, Glassdoor, Indeed, and tokopedia.com/careers. Should you are contacted by our Recruitment team, please ensure that the communication and information are coming from a valid and verified Tokopedia domain - *@tokopedia.com. If you are contacted by any third party outside of the authenticated channels highlighted above, please write to us at recruitment@tokopedia.com to validate the job/open position. This is to avoid any potential instances of fraud and to ensure your safety and security during the job application process.",Information Technology
2,company_2,Google,4.3,10000+ employees,Jakarta,"Since our founding in 1998, Google has grown by leaps and bounds. Starting from two computer science students in a university dorm room, we now have over a hundred thousand employees and over one hundred offices around the world. These Googlers build products that help create opportunities for everyone, whether down the street or across the globe. So whether you want to be a part of developing innovative technology, campaigns, products or partnerships, your work here is a chance to accomplish things that matter. To learn more about our job opportunities, teams, offices, benefits and workplace culture, visit careers.google.com.",Information Technology
3,company_3,Microsoft,4.2,10000+ employees,Jakarta,"At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. When you join Microsoft, you're not just taking on a job, you're embracing a calling. A calling where your individual contributions amplify into a collective force championing global progress and innovation. Rooted in a growth mindset, Microsoft believes in nurturing potential, embracing change, and lifelong learning. As part of Team Microsoft, you'll collaborate across boundaries, building upon the ideas of others, unified by our shared mission. Together, our aspirations become tangible. Consider Microsoft to make world-changing impact. Because impact matters. Join us at careers.microsoft.com",Information Technology
4,company_4,Gojek,4.1,1001 to 5000 employees,Jakarta,"Gojek is Southeast Asia’s leading on-demand platform and a pioneer of the multi-service ecosystem model, providing access to a wide range of services including transportation, food delivery, logistics and more. Gojek is founded on the principle of leveraging technology to remove life's daily frictions by connecting consumers to the best providers of goods and services in the market. The company was first established in 2010 focusing on courier and motorcycle ride-hailing services, before launching its app in January 2015 in Indonesia. Since then, Gojek has grown to become the leading on-demand platform in Indonesia, with additional operations in Vietnam and Singapore. The Gojek platform now comprises over 2.5 million driver partners across the region. Gojek is part of the GoTo Group, the largest digital ecosystem in Indonesia, consisting of Gojek, Tokopedia and GoTo Financial. Gojek is dedicated to solving the daily challenges faced by consumers, while improving the quality of life for millions of people across Southeast Asia, especially those in the informal sector and micro, small and medium enterprises (MSMEs). The Gojek application is available for download via iOS and Android. ............................... *IMPORTANT* ............................... Gojek is affiliated to the GoTo Group companies, and all authentic jobs/open positions listed by Gojek can ONLY be accessed via our official channels -- Gojek on LinkedIn, Gojek Tech on LinkedIn, Gojek on Glassdoor, and https://www.gojek.io/careers. In case you are contacted by our Talent Acquisition team, please ensure that the communication is coming from a valid Gojek domain - *****@gojek.com. If you are contacted by any third party outside of the authenticated channels highlighted above, please write to us at ethics@gotocompany.com to validate the job/open position. This is to avoid any potential instances of fraud, and to ensure your safety and security during the job application process.",Information Technology
5,company_5,Telkom Indonesia,4.3,10000+ employees,Jakarta,"Telkom keeps Indonesia wired, from sea to shining sea. The primary provider of local and long-distance telephone service in Indonesia, PT Telekomunikasi Indonesia -- more commonly known as Telkom -- operates nearly 9 million fixed lines. Its mobile service subsidiary, Telkomsel, is the largest Indonesian cellular operator with about 76 million subscribers. Telkom also offers leased lines and data transport services, as well as data and Internet services. The company is facing increased competition from other telecommunications service providers, due to regulatory reforms, yet it continues to grow, largely on the strength of cellular services and Internet services. The Indonesian government owns 51% of Telkom.",Information Technology
6,company_6,Bukalapak,4.1,1001 to 5000 employees,Jakarta,"We are an Indonesian-based technology born in 2010, with a focus on helping to create a fair economy for all. Through our online and offline commerce platforms, we want to provide everyone with options and opportunities to get more out of life. Serving more than 6.6 million online sellers, 8.7 million Mitra Bukalapak, and more than 100 million users, we also completed our services, with a B2B e-procurement line named Buka Pengadaan Indonesia (BPI) in 2019, and in 2020 launched Buka Investasi Bersama (BIB) a digital-based mutual fund selling agent. Some of the other achievements include Satyalancana Wira Karya Medal of Honors for our Founders, Achmad Zaky in 2016 and Fajrin in 2019, ranking 14th in Financial Times’ list of High Growth Companies in the Asia Pacific, HR Asia’s Best Companies To Work For in 2019 - 2020, and The Best Contact Center Indonesia 2018 and 2019 by the Indonesia Contact Center Association (ICCA)",Information Technology
7,company_7,Cisco,4.1,10000+ employees,Jakarta,"#WeAreCisco, where every individual brings their unique skills and perspectives together to pursue our purpose of powering an inclusive future for all. Our passion is connection—we celebrate our employees’ diverse set of backgrounds and focus on unlocking potential. Cisconians often experience one company, many careers where learning and development are encouraged and supported at every stage. Our technology, tools, and culture pioneered hybrid work trends, allowing all to not only give their best, but be their best. We understand our outstanding opportunity to bring communities together and at the heart of that is our people. One-third of Cisconians collaborate in our 30 employee resource organizations, called Inclusive Communities, to connect, foster belonging, learn to be informed allies, and make a difference. Dedicated paid time off to volunteer—80 hours each year—allows us to give back to causes we are passionate about, and nearly 86% do! Our purpose, driven by our people, is what makes us the worldwide leader in technology that powers the internet. Helping our customers reimagine their applications, secure their enterprise, transform their infrastructure, and meet their sustainability goals is what we do best. We ensure that every step we take is a step towards a more inclusive future for all. Take your next step and be you, with us!",Information Technology
8,company_8,Robert Bosch,4.2,10000+ employees,Jakarta,"The Bosch Group is a leading global supplier of technology and services. It employs roughly 429,000 associates worldwide (as of December 31, 2023). The company generated sales of 91.6 billion euros in 2023. Its operations are divided into four business sectors: Mobility, Industrial Technology, Consumer Goods, and Energy and Building Technology. With its business activities, the company aims to use technology to help shape universal trends such as automation, electrification, digitalization, connectivity, and an orientation to sustainability. In this context, Bosch’s broad diversification across regions and industries strengthens its innovativeness and robustness. Bosch uses its proven expertise in sensor technology, software, and services to offer customers cross-domain solutions from a single source. It also applies its expertise in connectivity and artificial intelligence in order to develop and manufacture user-friendly, sustainable products. With technology that is “Invented for life,” Bosch wants to help improve quality of life and conserve natural resources. The Bosch Group comprises Robert Bosch GmbH and its roughly 470 subsidiary and regional companies in over 60 countries. Including sales and service partners, Bosch’s global manufacturing, engineering, and sales network covers nearly every country in the world. Bosch’s innovative strength is key to the company’s further development. At 136 locations across the globe, Bosch employs some 90,000 associates in research and development, of which nearly 48,000 are software engineers. Website: https://www.bosch.com/careers LinkedIn: https://www.linkedin.com/company/bosch/ Instagram: https://www.instagram.com/boschglobal/ Facebook: https://www.facebook.com/BoschGlobal Twitter: https://www.twitter.com/BoschGlobal Imprint: www.bosch.com/corporate-information Privacy statement: www.bosch.com/data-protection-notice",Information Technology
9,company_9,Honeywell,4.1,10000+ employees,Jakarta,"Honeywell (www.honeywell.com) delivers industry specific solutions that include aerospace products and services; control technologies for buildings and industry; and performance materials globally. Our technologies help aircraft, buildings, manufacturing plants, supply chains, and workers become more connected to make our world smarter, safer, and more sustainable. For more news and information on Honeywell, please visit www.honeywell.com/newsroom.",Information Technology
